Issuer,Issue Month,Size (in issuance currency),Size (USD equivalent),Maturity Date,Issuer Country,Sector Criteria,Approved Verifier,Verifier Report,Status
Erste Mortgage Bank Ltd,2021-12-01,HUF 10.43 bn,32014800,8 years,Hungary,Low Carbon Buildings  (Residential),KPMG Hungary,/files/drupal-files/files/erste_Pre issuance assurance statement.pdf,-
ABN AMRO,2021-12-01,USD 1 bn,1000000000,8 years,Netherlands,Low Carbon Buildings  (Residential)SolarWind,ISS,/files/drupal-files/files/ABN Amro Bond 2019 pre issuance verification report.pdf,-
China Development Bank,2021-12-01,RMB 15bn,2357340000,3 years,China,Low Carbon Transport,China Lianhe Equator,/files/drupal-files/files/China Development Bank6_Pre issuance assurance statement.pdf,-
Commonwealth Bank of Australia,2021-12-01,AUD 400m,284002000,,Australia,WindLow Carbon BuildingsSolar,EY Australia,/files/drupal-files/files/Commonwealth Bank of AustraliaGR_Pre issuance assurance statement.pdf,redeemed
Bosques Amazonicos S.A.C.,2021-12-01,USD 45m,45000000,5 years,Peru,Forestry,Pacific Corporate Sustainability,/files/drupal-files/files/Bosques Amazonicos _Pre issuance assurance statement.pdf,-
KBC Group,2021-12-01,EUR 750m,845871000,6 years,Belgium,Low Carbon Buildings  (Residential)Marine RenewablesWind,Sustainalytics,/files/drupal-files/files/KBC Group three_Pre issuance assurance statement.pdf,-
Japan Railway Construction  Transport and Technology Agency,2021-11-01,confidential,,5 years,Japan,Low Carbon Transport,DNV,/files/drupal-files/files/JRTT pre issuance verification 37 page report PUBLIC English.pdf,-
Japan Railway Construction  Transport and Technology Agency,2021-11-01,confidential,,10 and 20 year tranches,Japan,Low Carbon Transport,DNV,/files/drupal-files/files/JRTT pre issuance verification 37 page report PUBLIC English.pdf,-
First Sentier Investors,2021-11-01,AUD750m,539400000,2 years,Australia,SolarWind,DNV,/files/drupal-files/files/First Sentier Investors_Pre issuance assurance statement.pdf,-
Barclays PLC,2021-11-01,GBP 0.3m,404788,8 years,United Kingdom,WindSolarMarine Renewables,Carbon Trust,/files/drupal-files/files/Barclays PLC index bonds_Pre issuance assurance statement.pdf,-
California Community Choice Financing Authority,2021-11-01,USD602.6m,602655000,31 years,United States,Solar,Kestrel,/files/drupal-files/files/ccca_Pre issuance assurance statement.pdf,-
Barclays PLC,2021-11-01,EUR 15m,16893000,5 years,United Kingdom,WindSolarMarine Renewables,Carbon Trust,/files/drupal-files/files/Barclays PLC index bonds_Pre issuance assurance statement.pdf,-
Contact Energy Limited,2021-11-01,NZD 225m,157765000,30 years,New Zealand,Geothermal,EY Australia,/files/drupal-files/files/Contact Green Borrowing Assurance Statement _PUBLIC.PDF,-
State Public Works Board of the State of California,2021-11-01,USD 467m,467550000,25 years,United States,Low Carbon Buildings (Commercial),,/files/drupal-files/files/State Public Works Board of the State of California_Pre issuance assurance statement.pdf,-
Mercury NZ,2021-11-01,AUD 200m,146591000,7 years,Australia,Wind,DNV,/files/drupal-files/files/Mercury-pre-issuance-verification-PUBLIC.pdf,-
Auckland Council,2021-11-01,EUR500m,567685000,10 years,No single country  covers the European Economic Area,Low Carbon Transport,EY Australia,,-
Societe des Grands Projets,2021-11-01,EUR1.25bn,1428350000,30 years,France,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/SGP-pre-Issuance-report.pdf,-
Societe des Grands Projets,2021-11-01,EUR1.75bn,1999690000,10 years,France,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/SGP-pre-Issuance-report.pdf,-
San Francisco Public Utilities Commission,2021-11-01,USD260.8m,260835000,up to 30 years,United States,Water Infrastructure,Sustainalytics,/files/drupal-files/files/San francisco_pre-issuance-verification.pdf,-
San Francisco Public Utilities Commission,2021-11-01,USD374.4m,347465000,11 years,United States,Water Infrastructure,Sustainalytics,/files/drupal-files/files/San francisco_pre-issuance-verification.pdf,-
Geysers Power Company,2021-11-01,confidential,,,United States,Geothermal,DNV,/files/drupal-files/files/Geysers Power Company_Pre issuance assurance statement.pdf,-
Instituto Costarricence de Electricidad (ICE),2021-11-01,USD 150m,150000000,7 years,Costa Rica,Hydropower,Pacific Corporate Sustainability,/files/drupal-files/files/ice _Pre issuance assurance statement.pdf,-
City and County of San Francisco,2021-11-01,confidential,,,,,,/files/drupal-files/files/2019-02 US City of San Francisco.pdf,-
Barclays PLC,2021-11-01,USD 1m,1000000,4 years,United Kingdom,WindSolarMarine Renewables,Carbon Trust,/files/drupal-files/files/Barclays PLC index bonds_Pre issuance assurance statement.pdf,-
ICBCIL Finance Co. Limited,2021-11-01,USD 750m,750000000,5 years,Hong KongChina,Wind,Hong Kong Quality Assurance Agency,/files/drupal-files/files/ICBCIL Finance Co_Limited_Pre issuance assurance statement.pdf,-
Barclays PLC,2021-11-01,EUR 3.226m,3734321,4 years,United Kingdom,Marine Renewable EnergySolarWind,Carbon Trust,/files/drupal-files/files/Barclays PLC index bonds_Pre issuance assurance statement.pdf,-
Industrial and Commercial Bank of China,2021-11-01,USD 750m,750000000,5 years,Hong Kong,Wind,Hong Kong Quality Assurance Agency,/files/drupal-files/files/ICBCIL_Pre issuance assurance statement.pdf,-
Charter Hall Richmond Investment Trust,2021-11-01,confidential,,,Australia,Low Carbon Buildings (Commercial),DNV,,-
Intellihub Holdings Pty Ltd,2021-11-01,confidential,,,Australia,Electrical Grids and Storage,EY Australia,,-
Charter Hall Canberra Office Trust,2021-11-01,confidential,,,Australia,Low Carbon Buildings  (Residential),DNV,,-
Evolution Rail Finance Pty,2021-10-01,confidential,,8 years,Australia,Low Carbon Transport,DNV,/files/drupal-files/files/evolution rail_Pre issuance assurance statement.pdf,-
Brookfield,2021-10-01,AUD 270m,202923000,5 years,Australia,Low Carbon Buildings (Commercial),DNV,/files/drupal-files/files/Brookfield Bourke_Pre issuance assurance statement.pdf,-
Manyata Promoters Private Limited,2021-10-01,INR 6500m,86864700,4 years,,Solar,KPMG India,/files/drupal-files/files/Manyata 6500m _Pre issuance assurance statement.pdf,-
GMASIVO 16 S.A.S.,2021-10-01,confidential,,,United States,Low Carbon Transport,ISS ESG,,-
GMASIVO 10 S.A.S.,2021-10-01,confidential,,,United States,Low Carbon Transport,ISS,,-
Industrial and Commercial Bank of China,2021-10-01,GBP2.34bn,3230220000,4 tranches  up to 5 years,China,Low Carbon TransportMarine Renewable EnergySolarWind,Beijing Zhongcai Green Financing Consultant Ltd.,/files/drupal-files/files/Industrial and Commercial Bank of China_Pre issuance assurance statement.pdf,-
Brighte Capital,2021-10-01,AUD185m,138000000,3 years,Australia,Solar,DNV,/files/drupal-files/files/Brighte-Capital-pre-issuance-verification-opinion.pdf,-
Brookfield,2021-10-01,confidential,,3 years,Australia,Low Carbon Buildings  (Residential),DNV,/files/drupal-files/files/Brookfield 1TE_Pre issuance assurance statement.pdf,-
Inpex Corporation,2021-10-01,JPY 10 bn,88066500,,Japan,Marine Renewable EnergyGeothermalWind,DNV,/files/drupal-files/files/Inpex Corporation_Pre issuance assurance statement.pdf,-
CDHI Intermediate Holdco LLC,2021-10-01,USD 400m,400000000,4 years,,SolarElectrical grids and Storage,DNV,/files/drupal-files/files/cdhi_Pre issuance assurance statement.pdf,-
ICPF Finance Pty Ltd (Investa),2021-10-01,AUD 140,102271000,9 years,Australia,Low Carbon Buildings (Commercial),EY,/files/drupal-files/files/ICPF Finance Pty Ltd_Pre issuance assurance statement.pdf,-
Barclays PLC,2021-10-01,USD 1m,1000000,7 years,United Kingdom,WindSolarMarine Renewables,Carbon Trust,/files/drupal-files/files/Barclays PLC index bonds_Pre issuance assurance statement.pdf,-
B. Grimm Power (Dau Tieng Tay Ninh Energy Joint Stock Company),2021-10-01,USD 160.5m,160500000,14 and 16 years,Vietnam,Solar,DNV,/files/drupal-files/files/Dau Tieng_Pre issuance assurance statement.pdf,-
SPCG Public Company Limited,2021-10-01,THB 1.5 bn,443200000,3 years,Thailand,Solar,TRIS Rating Company Limited,/files/drupal-files/files/SPCG Public Company Limited_Pre issuance assurance statement.pdf,-
FS Agrisolutions Industria de Biocombustiveis Ltda,2021-09-01,USD 100m,100000000,4 years,Brazil,Bioenergy,Sustainalytics,/files/drupal-files/files/FS-Agrisolutions-Industria-de-Biocombustiveis-Ltda_Pre issuance assurance statement.pdf,-
Industrial and Commercial Bank of China,2021-09-01,confidential,,,China,Low Carbon TransportSolarWind,China Lianhe Equator,,-
ABN AMRO,2021-09-01,EUR 1bn,1172070000,8 years,Netherlands,Low Carbon Buildings  (Residential)SolarWind,ISS,/files/drupal-files/files/ABN Amro Bond 2019 pre issuance verification report.pdf,-
Power Finance Corporation,2021-09-01,confidential,,7 years,India,WindSolar,KPMG India,/files/drupal-files/files/Power Finance Corporation 2021_Pre issuance assurance statement.pdf,-
Nationale-Nederlanden Bank N.V.,2021-09-01,EUR 500m,585918000,7 years,Netherlands,Low Carbon Buildings  (Residential),Sustainalytics,/files/drupal-files/files/Nationale-Nederlanden Bank NV_Pre issuance assurance statement.pdf,-
mBank S.A.,2021-09-01,EUR 500m,580662000,6 years,Poland,Low Carbon Buildings  (Residential),Sustainalytics,/files/drupal-files/files/mBank S_A_Pre issuance assurance statement.pdf,-
BCPG Public Company Limited,2021-09-01,THB 12bn,,5 tranches  up to 12 years,Thailand,Geothermal,DNV,/files/drupal-files/files/BCPG Public Company Limited_Pre issuance assurance statement.pdf,-
Charter Hall Richmond Investment Trust,2021-09-01,confidential,,,Australia,Low Carbon Buildings (Commercial),DNV,,-
Queensland Treasury Corporation,2021-09-01,AUD 3bn,2212390000,11 years,Australia,Low Carbon TransportSolarWater Infrastructure,DNV,/files/drupal-files/files/queensland treasury corporation_Pre issuance assurance statement.pdf,-
FS Agrisolutions Industria de Biocombustiveis Ltda,2021-09-01,BRL 300m,57879900,4 years,Brazil,Bioenergy,Sustainalytics,/files/drupal-files/files/FS-Agrisolutions-Industria-de-Biocombustiveis-Ltda_Pre issuance assurance statement.pdf,-
Energie Baden-Wurttemberg (EnBW),2021-08-01,EUR 500m,590703000,60 years,Germany,Low Carbon TransportMarine Rewable EnergySolarWind,ISS,/files/drupal-files/files/ EnBW_Pre issuance assurance statement.pdf,-
Societe des Grands Projets,2021-08-01,EUR1.5bn,1759000000,,France,Low Carbon Transport,Sustainalytics,,-
Ecoagro - Eco Securitizadora de Direitos Creditórios do Agronegócio S.A.,2021-08-01,BRL 8m,1481536,3 years,Brazil,Forestry,Bureau Veritas Brazil,/files/drupal-files/files/report-ecoagro-381.pdf,-
Aliança Geração de Energia S.A.,2021-08-01,BRL 220m,40820000,14 years,Brazil,Wind,Sitawi,/files/drupal-files/files/alianca_Pre issuance assurance statement.pdf,-
Emergence Plaza S.A.,2021-08-01,XOF10bn,17877500,2 years,Ivory Coast,Low Carbon Buildings (Commercial),DNV,/files/drupal-files/files/Emergence Plaza S_A_Pre issuance assurance statement.pdf,-
E1 Subholding S.A.,2021-08-01,BRL 69m,13211154,12 years,Brazil,Solar,Sitawi,/files/drupal-files/files/E1_Pre issuance assurance statement.pdf,-
Japan Railway Construction  Transport and Technology Agency,2021-08-01,JPY 20 bn,183000000,4 years,Japan,Low Carbon Transport,DNV,/files/drupal-files/files/JRTT pre issuance verification 37 page report PUBLIC English.pdf,-
Azure Power Ltd,2021-08-01,USD 414m,414000000,5 years,Mauritius,Solar,KPMG India,/files/drupal-files/files/Azure2021_Pre issuance assurance statement.pdf,-
FS Agrisolutions Industria de Biocombustiveis Ltda,2021-07-01,BRL 100m,19623700,2 years,Brazil,Bioenergy,Sustainalytics,/files/drupal-files/files/FS-Agrisolutions-Industria-de-Biocombustiveis-Ltda_Pre issuance assurance statement.pdf,-
FS Agrisolutions Industria de Biocombustiveis Ltda,2021-07-01,BRL 70m,13736590,1 year,Brazil,Bioenergy,Sustainalytics,/files/drupal-files/files/FS-Agrisolutions-Industria-de-Biocombustiveis-Ltda_Pre issuance assurance statement.pdf,-
India Cleantech Energy,2021-07-01,USD 334m,334000000,5 years,India,Solar,KPMG India,/files/drupal-files/files/India Cleantech Energy_Pre issuance assurance statement.pdf,-
China Development Bank,2021-07-01,RMB 10 bn,1547790000,3 years,China,Low Carbon Transport,China Lianhe Equator,,-
Oberlin College and Conservatory,2021-07-01,USD 80.625,80625000,30 years,United States,Low Carbon Buildings (Commercial)Low Carbon Buildings (Upgrades),Kestrel,/files/drupal-files/files/Oberlin college and conservatory_Pre issuance assurance statement.pdf,-
China Development Bank,2021-07-01,RMB 10 bn,1547790000,3 years,China,Low Carbon Transport,China Lianhe Equator,,-
Gran Americas USME Provision S.A.S,2021-07-01,confidential,,,Colombia,Low Carbon Transport,ISS,,-
Athon Energia S.A.,2021-07-01,BRL 80m,15122300,14 years,Brazil,Solar,Sitawi,/files/drupal-files/files/athon energia s_a_Pre issuance assurance statement.pdf,-
B. Grimm Power,2021-07-01,THB 3bn,934000000,5 years,Thailand,Solar  Wind,DNV,/files/drupal-files/files/B_grimm power_Pre issuance assurance statement.pdf,-
ASTRA SLR Finance Pty Limited,2021-07-01,AUD 700m,523674200,12 years,Australia,Low Carbon Transport,DNV,/files/drupal-files/files/ASTRA SLR Finance Pty Limited_Pre issuance assurance statement.pdf,-
Vector Green Energy,2021-07-01,INR 12.37bn,166371000,3 years,India,Solar,KPMG India,/files/drupal-files/files/Vector Green Energy_Pre issuance assurance statement.pdf,-
New York State Housing Finance Agency,2021-06-01,USD 136.215,136215000,35 years,United States,Low Carbon Buildings  (Residential),Sustainalytics,/files/drupal-files/files/NYSHFA pre issue report.PDF,-
humm ABS Trust 2021 (Humm Group Limited (formerly known as FlexiGroup)),2021-06-01,AUD 75.66m,54200000,5 years,Australia,Solar,DNV,,redeemed
KiwiRail Holdings Limited,2021-06-01,NZD 350m,246898000,10 years,New Zealand,Shipping,EY,/files/drupal-files/files/KiwiRail Holdings Limited_Pre issuance assurance statement.pdf,revoked
Brookfield,2021-06-01,confidential,,confidential,Australia,Low Carbon Buildings (Commercial),Sustainalytics,,-
Firstmac Limited,2021-06-01,AUD 750m,568393000,29 years,Australia,Low Carbon Buildings  (Residential),Sustainalytics,/files/drupal-files/files/Firstmac Limited_Pre issuance assurance statement.pdf,-
UBS AG,2021-06-01,EUR 500m and CHF 250m,861712000,5 and 7 years,Switzerland,Low Carbon Buildings  (Upgrades),Sustainalytics,/files/drupal-files/files/UBS AG_Pre issuance assurance statement.pdf,-
Jinneng Holding Power Group,2021-06-01,RMB 500m,78000000,5 years,China,Solar  Wind,China Lianhe Equator,/files/drupal-files/files/jinneng holding power group_Pre issuance assurance statement.pdf,-
Eika Bolikreditt AS,2021-06-01,EUR 500m,606000000,10 years,Norway,Low Carbon Buildings  (Residential),ISS,/files/drupal-files/files/Eika Bolikreditt AS_Pre issuance assurance statement.pdf,revoked
Azure Power Ltd,2021-06-01,confidential,,,India,Solar,KPMG,,-
Washington Metropolitan Area Transit Authority,2021-06-01,USD 784m,784000000,25 years,United States,Low Carbon Transport,Kestrel,/files/drupal-files/files/Washington metropolitan sewerage district_Pre issuance assurance statement.pdf,-
Wabtec Transportation Netherlands B.V,2021-06-01,EUR 500m,609000000,6 years,Netherlands,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/Wabtec_Pre issuance assurance statement.pdf,-
Japan Railway Construction  Transport and Technology Agency,2021-05-01,JPY 20bn,183000000,10 and 15 year tranches,Japan,Low Carbon Transport,DNV,/files/drupal-files/files/JRTT pre issuance verification 37 page report PUBLIC English.pdf,-
PKN Orlen S.A,2021-05-01,EUR 500m,611000000,7 years,Poland,Low Carbon Transport  Solar  Wind  Marine Renewable Energy  Waste Management,Vigeo Eiris,/files/drupal-files/files/Pkn orlen sa_Pre issuance assurance statement.pdf,-
Power Construction Joint Stock Company No.1,2021-05-01,USD173m,173000000,,Vietnam,Wind,DNV,/files/drupal-files/files/Power Construction Joint Stock Company No_Pre issuance assurance statement.pdf,-
Banco Cooperativo Sicredi S.A,2021-05-01,BRL 633.8m,109782813,7 years,Brazil,Solar,Sitawi,/files/drupal-files/files/Banco Cooperativo Sicredi S_A_Pre issuance assurance statement.pdf,-
Milwaukee Metropolitan Sewerage District,2021-05-01,USD 46m,46000000,20 years,United States,Water Infrastructure,Kestrel,/files/drupal-files/files/MMSD-2020D-pre-issuance-verification.pdf,-
Gaia Securitizadora S.A,2021-05-01,BRL 137.2m,24000000,6 years,Brazil,Agriculture,Sitawi,/files/drupal-files/files/Gaia Securitizadora S_A_Pre issuance assurance statement.pdf,-
Qtectic,2021-05-01,AUD 635.7m,493784787,4 years,Australia,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/qtectic_Pre issuance assurance statement.pdf,-
Westpac,2021-05-01,EUR 1 bn,1215000000,5 years,Australia,Low Carbon Transport  Buildings  Solar,pwc Australia,/files/drupal-files/files/westpac_Pre issuance assurance statement2022.pdf,-
Connecticut Green Bank,2021-05-01,USD 25m,25000000,15 years,United States,Solar,Kestrel,/files/drupal-files/files/www.climatebonds.net,-
Guodian Power Development Company,2021-05-01,RMB 1bn,156000000,3 years,China,Wind,iGreenBank,/files/drupal-files/files/www.climatebonds.net,-
Societe des Grands Projets,2021-04-01,EUR 2 bn,2425000000,25 years,France,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/SGP-pre-Issuance-report.pdf,-
Stanford University,2021-04-01,USD 300.4m,300400000,30 years,United States,Low Carbon Buildings  (Upgrades),Kestrel,/files/drupal-files/files/Stanford university_Pre issuance assurance statement.pdf,-
SNCF SA,2021-04-01,USD 100m,100000000,10 years,France,Low Carbon Transport,ISS ESG,/files/drupal-files/files/20161018_SNCF_oekom_CBI_pre-issuance-verification.pdf,-
SNCF SA,2021-04-01,SEK 500m,59385000,8 years,France,Low Carbon Transport,ISS ESG,/files/drupal-files/files/20161018_SNCF_oekom_CBI_pre-issuance-verification.pdf,-
SNCF SA,2021-04-01,AUD 70m,54119800,15 years,France,Low Carbon Transport,ISS ESG,/files/drupal-files/files/20161018_SNCF_oekom_CBI_pre-issuance-verification.pdf,-
NSP-SPV Powercorp Plc,2021-04-01,NGN 6325m,16565600,10 years,Nigeria,Solar,TUV Nord,/files/drupal-files/files/NSP-SPV Powercorp Plc_Pre issuance assurance statement.pdf,-
Renew Power,2021-04-01,USD 585m,585000000,6 years,India,Solar  Wind,KPMG India,/files/drupal-files/files/Renew power bond10_pre-issuance-report.pdf,-
Albion Capital LTDA,2021-04-01,BRL 153m,27364376,12 years,Brazil,Solar,Bureau Veritas,/files/drupal-files/files/Albion capital LTDA_Pre issuance assurance statement.pdf,-
New York State Housing Finance Agency,2021-03-01,USD 26.385m,26385000,30 years,United States,Low Carbon Buildings  (Residential),Sustainalytics,/files/drupal-files/files/NYSHFA pre issue report.PDF,-
Mercury NZ,2021-03-01,NZD 200m,140000000,5.5 years,New Zealand,WindGeothermal,DNV,/files/drupal-files/files/Mercury-pre-issuance-verification-PUBLIC.pdf,-
Obvion,2021-03-01,EUR531.7m,636400000,47 years,Netherlands,Low Carbon Buildings  (Residential),Sustainalytics,/files/drupal-files/files/obvion green storm_Pre issuance assurance statement.pdf,-
Clean Renewable Power (Mauritius) Pte. Ltd,2021-03-01,USD363m,363000000,6 years,Mauritius,SolarWind,KPMG India,/files/drupal-files/files/Clean Renewable Power (Mauritius) Pte Ltd_Pre issuance assurance statement.pdf,-
Japan Railway Construction  Transport and Technology Agency,2021-03-01,JPY 15.8bn,144200000,5 and 10 year tranches,Japan,Low Carbon Transport,DNV,/files/drupal-files/files/JRTT pre issuance verification 37 page report PUBLIC English.pdf,-
Serra do Mel Holding S.A.Echoenergia,2021-03-01,BRL 142m,25590000,14 years and 9 months,Brazil,Wind,Sitawi,/files/drupal-files/files/report-Echoenergia.pdf,-
Encavis AG,2021-03-01,EUR 20m,23900000,20 years,Germany,Wind,ISS,/files/drupal-files/files/encavis ag_Pre issuance assurance statement.pdf,-
E1 Subholding S.A.,2021-03-01,BRL 150,29000000,9 years,Brazil,Solar,Sitawi,,-
Faro Energy,2021-03-01,confidential,,2 years,Brazil,Solar,Bureau Veritas Brazil,,-
SNCF SA,2021-03-01,AUD 120m,91300000,15 years,France,Low Carbon Transport,ISS,/files/drupal-files/files/20161018_SNCF_oekom_CBI_pre-issuance-verification.pdf,-
China Development Bank,2021-03-01,RMB 20 bn,3066000000,3 years,China,Low Carbon Transport,China Lianhe Equator,/files/drupal-files/files/China-Development-Bank-Pre-issuance-verification.pdf,-
Denver Regional Transportation District,2021-03-01,USD 834.035m,834035000,Up to 19 years,United States,Low Carbon Transport,Kestrel,/files/drupal-files/files/Denver-RTD_2021-pre-issuance-verification.pdf,-
Guodian Power Development Company,2021-03-01,RMB 840m,132976689,3 years,China,Wind,iGreenBank,/files/drupal-files/files/guodian power development company bond 1_Pre issuance assurance statement.pdf,-
Vonovia SE,2021-03-01,EUR 600m,710000000,10 years,Germany,Low Carbon Buildings (Residential),Sustainalytics,/files/drupal-files/files/vonovia se_Pre issuance assurance statement.pdf,-
Ferrovie dello Stato,2021-03-01,EUR 1 bn,1177000000,7 years,Italy,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/Ferrovie CBI Pre-Issuance Verification Report.pdf,-
Gaia Impacto Securitizadora S.A.,2021-02-01,BRL 63.3m,12552000,10 years,Brazil,Agriculture,Bureau Veritas,/files/drupal-files/files/Gaia impacto securitizadora sa_pre-issuance-report.pdf,-
True Securitizadora S.A.,2021-02-01,BRL 80.08m,15000000,10 years,Brazil,Solar,Bureau Veritas Brazil,,-
Clean Energy Transfer Fund DinCo Pty Ltd,2021-02-01,confidential,,,Australia,Wind,DNV,,-
Renew Power,2021-02-01,USD 460m,460000000,3 years,India,Solar  Wind,KPMG,/files/drupal-files/files/Renew power kpmg_pre-issuance-report.pdf,-
Energy Absolute Public Company Limited,2021-02-01,THB 1.5 bn,47900000,3 years,Thailand,Wind,DNV,/files/drupal-files/files/Energy Absolute Public Company Limited_pre-issuance-report.pdf,-
New York Metropolitan Transportation Authority,2021-02-01,USD 495m,495000000,Up to 29 years,United States,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/MTA pre issuance Verification report Sustainalytics public.pdf,-
Indian Railway Finance Corporation,2021-01-01,USD 1.1 bn,1100000000,10 years,India,Low Carbon Transport,Emergent Ventures India,/files/drupal-files/files/India Rail_Pre issuance assurance statement.pdf,-
Republic of Chile,2021-01-01,EUR 400m  USD 750m,1236000000,11 years,Chile,Low Carbon Buildings (Upgrades)Low Carbon TransportSolar,Vigeo Eiris,/files/drupal-files/files/Republic-of-Chile_pre-issuance-verification-Jan-2021.pdf,-
DNB Boligkreditt,2021-01-01,EUR 1.5 bn,1670000000,10 years,Norway,Low Carbon Buildings (Residential),Sustainalytics,/files/drupal-files/files/DNB Boligkreditt Pre-Issuance Verification Letter - Sustainalytics.pdf,revoked
J Power,2021-01-01,JPY 20 bn,193000000,10 years,Japan,Wind,DNV,/files/drupal-files/files/J-Power-pre-issuance-verification-PUBLIC.pdf,-
Williams Caribbean Capital,2021-01-01,BD 34m,17000000,4 years,Barbados,Solar,Sustainalytics,/files/drupal-files/files/williams caribbean capital bond 1_Pre issuance assurance statement.pdf,-
CADU,2020-12-01,MXN 502m,25300000,10 years,Mexico,Low Carbon Buildings  (Residential),Sustainalytics,/files/drupal-files/files/www.climatebonds.net,-
New York State Housing Finance Agency,2020-12-01,USD 311.81m,311810000,up to 34 years,United States,Low Carbon Buildings  (Residential),Sustainalytics,/files/drupal-files/files/NYSHFA pre issue report.PDF,-
SNCF SA,2020-12-01,USD 50m,50000000,30 years,France,Low Carbon Transport,ISS,/files/drupal-files/files/20161018_SNCF_oekom_CBI_pre-issuance-verification.pdf,-
Canberra Metro,2020-12-01,confidential,,confidential,Australia,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/Canberra-Metro-Pre-Issuance-Verification-PUBLIC.pdf,-
Tokyo Gas Co.  Ltd,2020-12-01,JPY 10 bn,96200000,10 years,Japan,Solar,DNV,/files/drupal-files/files/Tokyo-Gas-pre-issuance-verification.pdf,-
Capital Dynamics Clean Energy Infrastructure Fund X,2020-12-01,confidential,,confidential,United States,Solar  Wind  Transport,DNV,,revoked
de Volksbank,2020-12-01,EUR 200m,243000000,2 years,Netherlands,Low Carbon Buildings (Residential),ISS ESG,/files/drupal-files/files/www.climatebonds.net,-
Patriam Invest AB,2020-11-01,SEK and EUR 140m,16424000,3 years,Sweden,Low Carbon Buildings (Residential),MultiConsult,/files/drupal-files/files/Patriam Invest AB_Pre issuance assurance statement.pdf,-
City of Edmonds,2020-11-01,USD 13.875m,13875000,Up to 25 years,United States,Water Infrastructure,Kestrel,/files/drupal-files/files/City-of-Edmonds-pre-issuance-verification.pdf,-
Central Arkansas Water,2020-11-01,USD 31.825m,31825000,Up to 22 years,United States,Water Infrastructure,Sustainalytics,/files/drupal-files/files/CAW-Pre-Issuance-Verification-Letter.pdf,-
BTS Group,2020-11-01,THB 10.2bn,310803000,5 tranches  up to 10 years,Thailand,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/BTSG-pre-issuance-verification.pdf,-
New York Metropolitan Transportation Authority,2020-11-01,USD 419.915m,419915000,Up to 13 years,United States,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/MTA pre issuance Verification report Sustainalytics public.pdf,-
VTG,2020-11-01,EUR 746m,881600000,Up to 20 years,Germany,Low Carbon Transport,ISS ESG,/files/drupal-files/files/VTG-pre-issuance-verification.pdf,-
Queensland Treasury Corporation,2020-11-01,AUD 1.5bn,1094000000,11 years,Australia,Low Carbon Transport,DNV,/files/drupal-files/files/www.climatebonds.net,-
Japan Railway Construction  Transport and Technology Agency,2020-11-01,JPY 30bn,288000000,multiple tranches  up to 20 years,Japan,Low Carbon Transport,DNV,/files/drupal-files/files/JRTT pre issuance verification 37 page report PUBLIC English.pdf,-
Societe des Grands Projets,2020-10-01,EUR 200m,234000000,,France,Low Carbon Transport,Sustainalytics,,-
de Volksbank,2020-10-01,EUR 300m,353000000,2 years,Netherlands,Low Carbon Buildings (Residential),ISS ESG,/files/drupal-files/files/www.climatebonds.net,-
Mercury NZ,2020-10-01,NZD 150m,66000000,10 years,New Zealand,WindGeothermal,DNV,/files/drupal-files/files/Mercury-pre-issuance-verification-PUBLIC.pdf,-
Phu Yen TTP,2020-10-01,USD 186m,186000000,Confidential,Vietnam,Solar,DNV,/files/drupal-files/files/Phu-Yen-TTP-pre-issuance-verification.pdf,-
Penta Ocean Construction,2020-10-01,JPY 10 bn,95000000,5 years,Japan,Marine Renewable Energy,DNV,/files/drupal-files/files/Penta_Ocean_pre_issuance_verification_report.pdf,-
Shuaa Energy 3 PSC,2020-10-01,USD 431.6m,431600000,Confidential,United Arab Emirates,Solar,Sustainalytics,/files/drupal-files/files/ACWA-Shuaa-Energy-Post-Verification.pdf,-
Brighte Capital,2020-10-01,AUD 190m,130000000,8 years,Australia,Solar,DNV,/files/drupal-files/files/Brighte-Capital-pre-issuance-verification-opinion.pdf,-
Renew Power,2020-10-01,USD 325m,325000000,4 years,India,SolarWind,KPMG,/files/drupal-files/files/India-Green-Energy-Holding_pre-issuance-report.pdf,-
Societe des Grands Projets,2020-10-01,EUR 3bn,3530000000,10 years,France,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/SGP-pre-Issuance-report.pdf,-
Societe des Grands Projets,2020-10-01,EUR 3bn,3530000000,40 years,France,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/SGP-pre-Issuance-report.pdf,-
Flexi ABS Trust 2020-1 (FlexiGroup (now known as Humm Group)),2020-10-01,AUD 96.5m,69200000,Up to 16 years,Australia,Solar,DNV,/files/drupal-files/files/Flexi_2020-1_pre-issuance-verification.pdf,redeemed
